Key;FR;EN;ES;DE;IT
chaperon_rouge_1;Il était une fois une petite fille de village, la plus jolie qu'on eût su voir;Once upon a time there lived in a certain village a little country girl, the prettiest creature that ever was seen.;En tiempo del rey que rabió, vivia en una aldea una niña, la más linda de las aldeanas,;;C'era una volta in un villaggio una bambina, la più carina che si potesse mai vedere.
chaperon_rouge_2;sa mère en était folle, et sa mère-grand plus folle encore.;Her mother was very fond of her, and her grandmother loved her still more.;tanto que loca de gozo estaba su madre y más aún su abuela,;;La sua mamma n'era matta, e la sua nonna anche di più.
chaperon_rouge_3;Cette bonne femme lui fit faire un petit chaperon rouge;This good woman made for her a little red ridinghood;quien le habia hecho una caperuza roja;;Quella buona donna di sua madre le aveva fatto fare un cappuccetto rosso,
chaperon_rouge_4;qui lui seyait si bien que partout on l'appelait le petit Chaperon rouge.;which became the girl so well that everybody called her Little Red Riding-hood.;y tan bien le estaba que por caperucita roja conocíanla todos.;;il quale le tornava così bene a viso, che la chiamavano dappertutto Cappuccetto Rosso.
chaperon_rouge_20;et la petite fille s'en alla par le chemin le plus long;and the little girl went by the longest way,;y la niña fuese por el más largo;;e la bambina se ne andò per la sua strada,
chaperon_rouge_21;s'amusant à cueillir des noisettes, à courir après des papillons;amusing herself by gathering nuts, running after butterflies,;entreteniéndose en coger avellanas, en correr detrás de las mariposas;;che era la più lunga, baloccandosi a cogliere le nocciuole, a dar dietro alle farfalle,
chaperon_rouge_22;et à faire des bouquets des petites fleurs qu'elle rencontrait.;and making nosegays of such little flowers as she met with.;y en hacer ramilletes con las florecillas que hallaba á su paso.;;e a fare dei mazzetti con tutti i fiorellini, che incontrava lungo la via.
chaperon_rouge_23;Le loup ne fut pas longtemps à arriver à la maison de la mère-grand;The Wolf was not long before he reached the old woman’s house.;Poco tardó el lobo en llegar á la casa de la abuela.;;Il Lupo in due salti arrivò a casa della nonna e bussò.
chaperon_rouge_23_quad;La bonne mère-grand, qui était dans son lit à cause qu'elle se trouvait un peu mal, lui cria : « Tire la chevillette, la bobinette cherra. »;;;;
chaperon_rouge_24;"Le loup tira la chevillette, et la porte s'ouvrit. Il se jeta sur la bonne femme, et la dévora en moins de rien ; car il y avait plus de trois jours qu'il n'avait mangé.";blabla;blabla;blabla;blabla
chaperon_rouge_25;"Hé bien, je veux l'aller voir aussi ; je m'y en vais par ce chemin ici, et toi par ce chemin-là, et nous verrons qui plus tôt y sera.";blabla;blabla;blabla;blabla
chaperon_rouge_26;Un jour sa mère cuit et fit des galettes.;blabla;blabla;blabla;blabla
chaperon_rouge_27;« Va voir comme se porte ta mère-grand, car on m'a dit qu'elle était malade, porte-lui une galette et ce petit pot de beurre. »;blabla;blabla;blabla;blabla
chaperon_rouge_28;Le petit Chaperon rouge partit aussitôt pour aller chez sa mère-grand, qui demeurait dans un autre village.;blabla;blabla;blabla;blabla
chaperon_rouge_29;"En passant dans un bois elle rencontra compère le loup, qui eut bien envie de la manger ; mais il n'osa, à cause de quelques bûcherons qui étaient dans la forêt.";blabla;blabla;blabla;blabla
chaperon_rouge_30;Le loup se mit à courir de toute sa force par le chemin qui était le plus court,;blabla;blabla;blabla;blabla
chaperon_rouge_38;Ensuite, il ferma la porte et s'alla coucher dans le lit de la mère-grand, en attendant le petit Chaperon rouge, qui quelque temps après vint heurter à la porte.;;;;
chaperon_rouge_39;"Toc, toc. « Qui est là ? »\nLe petit Chaperon rouge, qui entendit la grosse voix du loup, eut peur d'abord, mais croyant que sa mère-grand était enrhumée, répondit :";;;;
chaperon_rouge_40; C'est votre fille le petit Chaperon rouge, qui vous apporte une galette et un petit pot de beurre que ma mère vous envoie;;;;
chaperon_rouge_41_bis;Le loup lui cria en adoucissant un peu sa voix : « Tire la chevillette, la bobinette cherra. »;;;;
chaperon_rouge_41_ter;Le petit Chaperon rouge tira la chevillette, et la porte s'ouvrit.;;;;
chaperon_rouge_41;Le loup, la voyant entrer, lui dit en se cachant dans le lit sous la couverture : « Mets la galette et le petit pot de beurre sur la huche, et viens te coucher avec moi. »;;;;
chaperon_rouge_42;Le petit Chaperon rouge se déshabille, et va se mettre dans le lit, où elle fut bien étonnée de voir comment sa mère-grand était faite en son déshabillé. Elle lui dit : « Ma mère-grand, que vous avez de grands bras !»;;;;
chaperon_rouge_50;C'est pour mieux t'embrasser ma fille,;;;;
chaperon_rouge_50_bis;Ma mère-grand, que vous avez de grandes jambes !;;;;
chaperon_rouge_51;C'est pour mieux courir mon enfant;;;;
chaperon_rouge_51_bis;Ma mère-grand, que vous avez de grandes oreilles !;;;;
chaperon_rouge_52;C'est pour mieux écouter, mon enfant;;;;
chaperon_rouge_53_bis;Ma mère-grand, que vous avez de grandes dents !;;;;
chaperon_rouge_54;C'est pour mieux te manger.;;;;
chaperon_rouge_55;Et en disant ces mots, ce méchant loup se jeta sur le petit Chaperon rouge, et la mangea.;;;;